instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,chi_T
1-Tetrahedron,4,6,80,270,0.0,0.21,0.5,optimal,5,5
10-The Icosahedron,12,30,504,2226,0.01,0.27,0.54,optimal,6,6
11-The Chvátal Graph,12,24,360,1404,0.0,0.35,0.68,optimal,5,5
12-The Bondy-Murty Graph G-3,14,21,280,945,0.0,0.35,0.65,optimal,4,4
13-The Bondy-Murty Graph G-4,16,16,192,544,0.0,0.32,0.63,optimal,4,4
14-The Ramsey Graph,17,63,1440,8344,0.01,0.34,0.71,optimal,9,9
15-The Dodecahedron,20,30,400,1350,0.0,0.27,0.61,optimal,4,4
16-the Mycielski 5 - Chromatic Graph,23,71,2256,11894,0.02,0.2,0.69,optimal,12,12
17-The Grünbaum Graph,25,50,750,2925,0.0,0.26,0.52,optimal,5,5
18-The Map of India,30,71,1414,6220,0.01,0.26,0.56,optimal,7,7
19-the Mycielski 6 - Chromatic Graph,47,236,14150,110392,0.08,5.01,5.41,timeout,UNKNOWN,UNKNOWN
2-The kuratowski Bipartie Graph,6,9,120,405,0.0,0.28,0.63,optimal,5,5
20-2-FullIns_3,52,201,8096,51027,0.07,0.29,0.78,optimal,16,16
21-3-FullIns_3,80,346,17892,126099,0.09,5.01,5.42,timeout,UNKNOWN,UNKNOWN
22-1-FullIns_4,93,593,46648,438288,0.29,5.01,5.87,timeout,UNKNOWN,UNKNOWN
23-the Mycielski 7 - Chromatic Graph,95,755,83300,1009775,0.58,5.01,6.34,timeout,UNKNOWN,UNKNOWN
24-4-FullIns_3,114,541,32750,255270,0.15,5.01,5.46,timeout,UNKNOWN,UNKNOWN
25-1-FullIns_5,282,3247,684626,11631912,8.44,5.0,29.25,timeout,UNKNOWN,UNKNOWN
26-3-FullIns_4,405,3524,675788,9276589,8.86,5.0,20.27,timeout,UNKNOWN,UNKNOWN
