instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,delta,chi_T
1-Tetrahedron,4,6,50,260,0.0,0.11,0.26,optimal,5,3,5
10-The Icosahedron,12,30,252,1932,0.0,0.06,0.13,optimal,6,5,6
11-The Chvátal Graph,12,24,180,1116,0.0,0.06,0.13,optimal,5,4,5
12-The Bondy-Murty Graph G-3,14,21,140,665,0.0,0.07,0.16,optimal,4,3,4
13-The Bondy-Murty Graph G-4,16,15,124,477,0.0,0.07,0.19,optimal,4,3,4
14-The Ramsey Graph,17,59,684,7591,0.01,0.07,0.15,optimal,9,8,9
15-The Dodecahedron,20,30,200,950,0.0,0.06,0.12,optimal,4,3,4
16-the Mycielski 5 - Chromatic Graph,23,71,1128,13774,0.0,0.04,0.14,optimal,12,11,12
17-The Grünbaum Graph,25,50,375,2325,0.0,0.06,0.12,optimal,5,4,5
18-The Map of India,30,61,910,8516,0.0,0.1,0.16,optimal,10,9,10
19-the Mycielski 6 - Chromatic Graph,47,236,6792,157471,0.04,0.21,0.4,optimal,24,23,24
2-The kuratowski Bipartie Graph,6,9,75,390,0.0,0.13,0.27,optimal,5,3,5
20-2-FullIns_3,52,201,4048,65701,0.01,0.11,0.22,optimal,16,15,16
21-3-FullIns_3,80,346,8520,167786,0.05,0.2,0.44,optimal,20,19,20
22-1-FullIns_4,93,593,22638,698405,0.2,5.01,5.54,timeout,UNKNOWN,32,UNKNOWN
23-the Mycielski 7 - Chromatic Graph,95,755,40800,1786450,0.52,5.0,6.28,timeout,UNKNOWN,47,UNKNOWN
24-4-FullIns_3,114,541,15720,364243,0.11,5.0,5.39,timeout,UNKNOWN,23,UNKNOWN
25-1-FullIns_5,282,3247,338784,26256121,9.13,5.01,47.62,timeout,UNKNOWN,95,UNKNOWN
26-3-FullIns_4,405,3524,333965,21867204,6.64,5.01,21.76,timeout,UNKNOWN,84,UNKNOWN
27-4-Fullins-4,690,6650,880800,76930220,28.64,5.01,706.34,timeout,UNKNOWN,119,UNKNOWN
3-The Octahedron,6,12,90,558,0.0,0.1,0.29,optimal,5,4,5
4-The Bondy-Murty Graph,7,12,95,544,0.0,0.07,0.18,optimal,5,4,5
5-The Wheel Graph,8,14,176,1310,0.0,0.07,0.19,optimal,8,7,8
6-The Cube,8,12,80,380,0.0,0.08,0.17,optimal,4,3,4
7-The Petersen Graph,10,15,100,475,0.0,0.06,0.16,optimal,4,3,4
8-The Bondy-Murty Graph G2,11,28,351,3387,0.0,0.06,0.16,optimal,9,8,9
9-The Grötsch Graph,11,20,186,1186,0.0,0.06,0.14,optimal,6,5,6
