instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,delta,chi_T
1-Tetrahedron,4,6,80,270,0.0,0.44,0.5,optimal,5,3,5
10-The Icosahedron,12,30,504,2226,0.01,0.42,0.43,optimal,6,5,6
11-The Chvátal Graph,12,24,360,1404,0.0,0.46,0.47,optimal,5,4,5
12-The Bondy-Murty Graph G-3,14,21,280,945,0.0,0.41,0.41,optimal,4,3,4
13-The Bondy-Murty Graph G-4,16,15,248,725,0.0,0.43,0.44,optimal,4,3,4
14-The Ramsey Graph,17,59,1368,7439,0.01,0.49,0.5,optimal,9,8,9
15-The Dodecahedron,20,30,400,1350,0.0,0.39,0.39,optimal,4,3,4
16-the Mycielski 5 - Chromatic Graph,23,71,2256,11894,0.01,0.42,0.44,optimal,12,11,12
17-The Grünbaum Graph,25,50,750,2925,0.0,0.4,0.41,optimal,5,4,5
18-The Map of India,30,61,1820,7879,0.01,0.49,0.5,optimal,10,9,10
19-the Mycielski 6 - Chromatic Graph,47,236,13584,105965,0.12,0.82,0.96,optimal,24,23,24
2-The kuratowski Bipartie Graph,6,9,120,405,0.0,0.44,0.44,optimal,5,3,5
20-2-FullIns_3,52,201,8096,51027,0.06,0.63,0.7,optimal,16,15,16
21-3-FullIns_3,80,346,17892,126099,0.08,1.18,1.28,timeout,UNKNOWN,19,UNKNOWN
22-1-FullIns_4,93,593,46648,438288,0.25,1.08,1.4,timeout,UNKNOWN,32,UNKNOWN
23-the Mycielski 7 - Chromatic Graph,95,755,83300,1009775,0.6,0.99,1.72,timeout,UNKNOWN,47,UNKNOWN
24-4-FullIns_3,114,541,32750,255270,0.14,1.18,1.36,timeout,UNKNOWN,23,UNKNOWN
25-1-FullIns_5,282,3247,684626,11631912,8.69,0.0,9.52,timeout,UNKNOWN,95,UNKNOWN
26-3-FullIns_4,405,3524,675788,9276589,5.52,0.0,6.15,timeout,UNKNOWN,84,UNKNOWN
27-4-Fullins-4,690,6650,1776280,28264794,21.29,0.0,23.54,timeout,UNKNOWN,119,UNKNOWN
3-The Octahedron,6,12,180,702,0.0,0.46,0.47,optimal,5,4,5
4-The Bondy-Murty Graph,7,12,190,696,0.0,0.5,0.5,optimal,5,4,5
5-The Wheel Graph,8,14,352,1354,0.0,0.42,0.43,optimal,8,7,8
6-The Cube,8,12,160,540,0.0,0.45,0.45,optimal,4,3,4
7-The Petersen Graph,10,15,200,675,0.0,0.47,0.47,optimal,4,3,4
8-The Bondy-Murty Graph G2,11,28,702,3309,0.0,0.53,0.53,optimal,9,8,9
9-The Grötsch Graph,11,20,372,1403,0.0,0.47,0.48,optimal,6,5,6
