instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,delta,chi_T
1-Tetrahedron,4,6,270,270,0.0,0.0,0.45,optimal,5,3,5
10-The Icosahedron,12,30,2226,2226,0.0,0.01,0.43,optimal,6,5,6
11-The Chvátal Graph,12,24,1404,1404,0.0,0.0,0.43,optimal,5,4,5
12-The Bondy-Murty Graph G-3,14,21,945,945,0.0,0.0,0.41,optimal,4,3,4
13-The Bondy-Murty Graph G-4,16,15,725,725,0.0,0.0,0.43,optimal,4,3,4
14-The Ramsey Graph,17,59,7439,7439,0.01,0.02,0.5,optimal,9,8,9
15-The Dodecahedron,20,30,1350,1350,0.0,0.0,0.47,optimal,4,3,4
16-the Mycielski 5 - Chromatic Graph,23,71,11894,11894,0.02,0.03,0.52,optimal,12,11,12
17-The Grünbaum Graph,25,50,2925,2925,0.0,0.01,0.4,optimal,5,4,5
18-The Map of India,30,61,7879,7879,0.01,0.01,0.38,optimal,10,9,10
19-the Mycielski 6 - Chromatic Graph,47,236,105965,105965,0.1,0.18,0.71,optimal,24,23,24
2-The kuratowski Bipartie Graph,6,9,405,405,0.0,0.0,0.36,optimal,5,3,5
20-2-FullIns_3,52,201,51027,51027,0.05,0.1,0.54,optimal,16,15,16
21-3-FullIns_3,80,346,0,0,1.11,0.0,1.11,timeout,UNKNOWN,19,UNKNOWN
22-1-FullIns_4,93,593,0,0,1.21,0.0,1.22,timeout,UNKNOWN,32,UNKNOWN
23-the Mycielski 7 - Chromatic Graph,95,755,0,0,1.23,0.0,1.25,timeout,UNKNOWN,47,UNKNOWN
24-4-FullIns_3,114,541,0,0,1.13,0.0,1.14,timeout,UNKNOWN,23,UNKNOWN
25-1-FullIns_5,282,3247,0,0,1.2,0.0,1.27,timeout,UNKNOWN,95,UNKNOWN
26-3-FullIns_4,405,3524,0,0,1.22,0.0,1.26,timeout,UNKNOWN,84,UNKNOWN
27-4-Fullins-4,690,6650,0,0,1.24,0.0,1.35,timeout,UNKNOWN,119,UNKNOWN
3-The Octahedron,6,12,702,702,0.0,0.0,0.48,optimal,5,4,5
4-The Bondy-Murty Graph,7,12,696,696,0.0,0.0,0.39,optimal,5,4,5
5-The Wheel Graph,8,14,1354,1354,0.0,0.0,0.42,optimal,8,7,8
6-The Cube,8,12,540,540,0.0,0.0,0.42,optimal,4,3,4
7-The Petersen Graph,10,15,675,675,0.0,0.0,0.41,optimal,4,3,4
8-The Bondy-Murty Graph G2,11,28,3309,3309,0.0,0.01,0.37,optimal,9,8,9
9-The Grötsch Graph,11,20,1403,1403,0.0,0.0,0.41,optimal,6,5,6
