instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,delta,chi_T
1-Tetrahedron,4,6,50,261,0.0,0.0,0.5,optimal,5,3,5
10-The Icosahedron,12,30,252,1933,0.0,0.0,0.2,optimal,6,5,6
11-The Chvátal Graph,12,24,180,1117,0.0,0.0,0.22,optimal,5,4,5
12-The Bondy-Murty Graph G-3,14,22,180,967,0.0,0.0,0.2,optimal,5,4,5
13-The Bondy-Murty Graph G-4,16,18,136,563,0.0,0.0,0.21,optimal,4,3,4
14-The Ramsey Graph,17,59,684,7592,0.0,0.01,0.22,optimal,9,8,9
15-The Dodecahedron,20,30,200,951,0.0,0.0,0.25,optimal,4,3,4
16-the Mycielski 5 - Chromatic Graph,23,71,1128,13775,0.01,0.01,0.24,optimal,12,11,12
17-The Grünbaum Graph,25,50,375,2326,0.0,0.0,0.24,optimal,5,4,5
18-The Map of India,30,63,930,8899,0.0,0.01,0.2,optimal,10,9,10
19-the Mycielski 6 - Chromatic Graph,47,236,6792,157472,0.07,0.12,0.43,optimal,24,23,24
2-The kuratowski Bipartie Graph,6,9,75,391,0.0,0.0,0.47,optimal,5,3,5
20-2-FullIns_3,52,201,4048,65702,0.03,0.05,0.3,optimal,16,15,16
21-3-FullIns_3,80,346,8520,167787,0.08,0.13,0.42,optimal,20,19,20
22-1-FullIns_4,93,594,0,0,1.19,0.0,1.2,timeout,UNKNOWN,32,UNKNOWN
23-the Mycielski 7 - Chromatic Graph,95,755,0,0,1.18,0.0,1.19,timeout,UNKNOWN,47,UNKNOWN
24-4-FullIns_3,114,541,0,0,1.14,0.0,1.15,timeout,UNKNOWN,23,UNKNOWN
25-1-FullIns_5,282,3247,0,0,1.33,0.0,1.39,timeout,UNKNOWN,95,UNKNOWN
26-3-FullIns_4,405,3524,0,0,1.25,0.0,1.3,timeout,UNKNOWN,84,UNKNOWN
27-4-Fullins-4,690,6650,0,0,1.26,0.0,1.39,timeout,UNKNOWN,119,UNKNOWN
3-The Octahedron,6,12,90,559,0.0,0.0,0.22,optimal,5,4,5
4-The Bondy-Murty Graph,7,12,95,545,0.0,0.0,0.26,optimal,5,4,5
5-The Wheel Graph,8,14,176,1311,0.0,0.0,0.26,optimal,8,7,8
6-The Cube,8,12,80,381,0.0,0.0,0.2,optimal,4,3,4
7-The Petersen Graph,10,15,100,476,0.0,0.0,0.22,optimal,4,3,4
8-The Bondy-Murty Graph G2,11,28,351,3388,0.0,0.0,0.2,optimal,9,8,9
9-The Grötsch Graph,11,20,186,1187,0.0,0.0,0.18,optimal,6,5,6
